Date,SPY,IVV,VOO,SPLG,SPXL,SPXS,SPDN,SPUU,NSPI,SPXU,UPRO,SDS,SH,SSO,JMOM,VUG,VONV,IUSV,FREL,XSW,VHT,MGK,JVAL,VOT,VIOG,NURE,GLD,XLU,TQQQ,VCR,FNCL,IFRA,PBD,RYT,FTEC,SCHI,SUSC,VTC,VCIT,VEA,IEFA,EFA,SCHF,EFV,SCZ,SPDW,FNDF,EWC,DBEF,GSIE
2019-12-10,301.31146240234375,302.3173828125,276.6796875,35.32973861694336,60.174354553222656,144.99256896972656,25.159242630004883,55.73270034790039,,109.57738494873047,31.862136840820312,131.9359893798828,24.71698760986328,35.29684829711914,28.99744415283203,173.1381072998047,55.614933013916016,57.992366790771484,25.446889877319336,98.63568115234375,180.912353515625,138.23435974121094,26.586641311645508,152.47787475585938,158.89378356933594,28.821481704711914,137.97000122070312,58.123756408691406,19.05061149597168,177.3356170654297,41.31142044067383,26.62635612487793,13.093217849731445,186.00735473632812,67.57410430908203,47.485137939453125,25.043811798095703,83.25375366210938,87.3353271484375,41.17595291137695,61.30617904663086,65.12097930908203,31.67115020751953,46.54660415649414,58.9481315612793,29.39658546447754,27.273584365844727,28.269262313842773,31.730144500732422,28.737136840820312
2019-12-11,302.16680908203125,303.0843200683594,277.4001159667969,35.43528747558594,60.68026351928711,143.8964080810547,25.080522537231445,56.09488296508789,,108.68247985839844,32.13076400756836,131.19003295898438,24.637351989746094,35.49789047241211,29.054088592529297,173.72767639160156,55.648040771484375,58.16195297241211,25.198585510253906,98.19862365722656,180.9897918701172,138.80502319335938,26.683183670043945,152.57640075683594,158.84481811523438,28.483051300048828,138.9199981689453,58.2806510925293,19.3380069732666,177.79891967773438,41.207542419433594,26.81696891784668,13.171212196350098,187.7200164794922,67.94551086425781,47.6324348449707,25.13396644592285,83.58330535888672,87.57492065429688,41.40507507324219,61.563297271728516,65.46392822265625,31.84188461303711,46.81005096435547,59.18659591674805,29.5492000579834,27.48171043395996,28.374746322631836,31.806053161621094,28.872827529907227
2019-12-12,304.7712097167969,305.7683410644531,279.8399353027344,35.69435501098633,62.237701416015625,140.2093048095703,24.860307693481445,57.12826156616211,,105.89830017089844,32.956539154052734,129.0018768310547,24.428308486938477,36.101016998291016,29.161514282226562,174.58241271972656,56.34341049194336,58.81208038330078,24.858312606811523,98.33767700195312,182.45111083984375,139.41502380371094,27.078725814819336,153.3448944091797,160.57850646972656,28.164472579956055,138.42999267578125,58.031471252441406,19.78034782409668,179.42044067382812,42.01961135864258,27.010421752929688,13.317451477050781,190.67564392089844,68.64920043945312,47.39960479736328,25.02482795715332,83.24906158447266,87.29696655273438,41.72967529296875,61.96324157714844,65.9021224975586,32.06879806518555,47.233463287353516,59.348751068115234,29.76857566833496,27.734724044799805,28.422691345214844,32.08122634887695,28.969745635986328
2019-12-13,304.95379638671875,305.8738708496094,279.94561767578125,35.71355056762695,62.297218322753906,140.010009765625,24.87126922607422,57.12826156616211,,105.74913787841797,33.011260986328125,128.7532196044922,24.428308486938477,36.14569854736328,29.230852127075195,175.2112274169922,56.1731071472168,58.7367057800293,24.858312606811523,99.01313018798828,182.53817749023438,140.13323974609375,26.94562530517578,153.45326232910156,159.42271423339844,28.16920280456543,139.0500030517578,58.48369216918945,19.957782745361328,179.34320068359375,41.83076095581055,26.857746124267578,13.336950302124023,191.00839233398438,69.11834716796875,47.64955139160156,25.162433624267578,83.58988952636719,87.6707763671875,41.968345642089844,62.38223648071289,66.35938262939453,32.27244567871094,47.60041427612305,59.777984619140625,29.911645889282227,27.860746383666992,28.46105194091797,32.242530822753906,29.173280715942383
2019-12-16,307.0487976074219,308.0725402832031,281.9244079589844,35.982208251953125,63.59672927856445,137.02047729492188,24.691909790039062,57.952491760253906,,103.56156921386719,33.70273208618164,126.9629135131836,24.249128341674805,36.639617919921875,29.440826416015625,176.62606811523438,56.5230827331543,59.194522857666016,25.033044815063477,100.00643157958984,184.5461883544922,141.17613220214844,27.13121223449707,154.82275390625,160.56227111816406,28.328962326049805,139.0399932861328,59.21277618408203,20.53007698059082,180.195068359375,42.029048919677734,26.954986572265625,13.531932830810547,192.27090454101562,69.70475006103516,47.53265380859375,25.081771850585938,83.44679260253906,87.4886703491211,42.3884162902832,63.03857421875,67.06841278076172,32.57305908203125,48.118019104003906,60.320159912109375,30.197792053222656,28.141876220703125,28.678739547729492,32.59361267089844,29.46404266357422
2019-12-17,307.1160888671875,308.1015319824219,281.9819641113281,36.001407623291016,63.6165657043457,137.02047729492188,24.681943893432617,57.97907257080078,,103.61128234863281,33.707706451416016,126.9629135131836,24.249128341674805,36.65202713012695,29.434965133666992,176.40988159179688,56.5659294128418,59.27983474731445,24.775543212890625,99.6985092163086,184.32272338867188,141.11709594726562,27.208072662353516,154.22174072265625,161.5750274658203,28.049144744873047,139.00999450683594,59.40658187866211,20.557565689086914,181.16416931152344,42.27456283569336,27.199996948242188,13.64892578125,192.01641845703125,69.61679077148438,47.537410736083984,25.081771850585938,83.42324829101562,87.49824523925781,42.235660552978516,62.70075225830078,66.68307495117188,32.4760856628418,47.91672897338867,59.891868591308594,30.12148666381836,28.074016571044922,28.71761131286621,32.517704010009766,29.357433319091797
2019-12-18,307.13531494140625,308.1208190917969,282.001220703125,35.99180221557617,63.6165657043457,137.02047729492188,24.67397117614746,58.01451873779297,,103.51184844970703,33.70273208618164,126.9629135131836,24.259082794189453,36.65947723388672,29.458402633666992,176.59657287597656,56.53260040283203,59.213478088378906,25.088228225708008,100.2746353149414,184.6141815185547,141.2745361328125,27.23712921142578,154.44837951660156,162.3812713623047,28.31100082397461,139.02000427246094,59.64652633666992,20.60504722595215,181.44520568847656,42.095149993896484,27.389713287353516,13.629426956176758,192.39808654785156,69.61679077148438,47.523155212402344,25.06279182434082,83.32908630371094,87.44073486328125,42.130645751953125,62.59457015991211,66.59635925292969,32.42759704589844,47.83046340942383,59.6387939453125,30.073795318603516,28.00615882873535,28.707897186279297,32.50333023071289,29.308971405029297
2019-12-19,308.39422607421875,309.44256591796875,283.17303466796875,36.164520263671875,64.42008209228516,135.5257110595703,24.57233428955078,58.38675308227539,,102.26891326904297,34.10566711425781,125.96829986572266,24.15953826904297,36.949867248535156,29.620521545410156,177.76573181152344,56.680206298828125,59.34618377685547,25.308944702148438,101.02955627441406,185.26504516601562,142.2288818359375,27.245563507080078,155.3547821044922,163.15805053710938,28.411209106445312,139.3800048828125,59.66499328613281,21.0248966217041,182.14297485351562,42.08571243286133,27.32297706604004,13.629426956176758,193.47467041015625,70.04682922363281,47.55172348022461,25.109386444091797,83.42324829101562,87.5653305053711,42.16883087158203,62.59457015991211,66.59635925292969,32.42759704589844,47.859222412109375,59.76533126831055,30.064260482788086,28.00615882873535,28.737051010131836,32.47457504272461,29.28958511352539
2019-12-20,309.7463684082031,311.0247802734375,284.6138916015625,36.35546112060547,65.36248016357422,133.5326690673828,24.448774337768555,59.078033447265625,,100.6779556274414,34.62302017211914,124.77474975585938,24.040081024169922,37.32465362548828,29.834396362304688,178.6401824951172,57.00397872924805,59.66845703125,25.496089935302734,101.57587432861328,186.498779296875,142.7798309326172,27.425527572631836,156.46817016601562,163.23667907714844,28.537887573242188,139.52000427246094,60.075164794921875,21.274805068969727,182.30770874023438,42.08571243286133,27.37445831298828,13.726919174194336,194.53163146972656,70.47898864746094,47.53742980957031,25.090368270874023,83.46089172363281,87.5174331665039,42.235660552978516,62.662139892578125,66.64453125,32.46638488769531,47.782535552978516,59.833473205566406,30.14056396484375,27.996463775634766,28.795360565185547,32.618350982666016,29.376813888549805
2019-12-23,310.2195129394531,311.2466125488281,284.8928527832031,36.39404296875,65.49394226074219,133.1029815673828,24.436784744262695,59.10927200317383,,100.47908782958984,34.72251892089844,124.47637176513672,24.01021957397461,37.38422393798828,29.774585723876953,178.85633850097656,56.98493576049805,59.70637130737305,25.338590621948242,101.50929260253906,187.4119415283203,143.0946807861328,27.441600799560547,156.30064392089844,163.51197814941406,28.362995147705078,139.9499969482422,59.5171012878418,21.432249069213867,182.23988342285156,41.99079513549805,27.28580093383789,13.793773651123047,194.73175048828125,70.70437622070312,47.49934387207031,25.080854415893555,83.47220611572266,87.46455383300781,42.293514251708984,62.80692672729492,66.75050354003906,32.514869689941406,47.782535552978516,59.998939514160156,30.171478271484375,28.00615882873535,28.795360565185547,32.66627883911133,29.376813888549805
