Date,JMOM,VUG,VONV,IUSV,FREL,XSW,VHT,MGK,JVAL,VOT,VIOG,NURE,GLD,XLU,TQQQ,VCR,FNCL,IFRA,PBD,RYT,FTEC,SCHI,SUSC,VTC,VCIT
2012-05-02,,63.32712173461914,24.305688858032227,24.17742919921875,,29.23719024658203,59.27720260620117,49.33785629272461,,64.23600006103516,64.61659240722656,,160.58999633789062,25.235305786132812,1.204275131225586,65.10125732421875,,,7.288664817810059,51.423763275146484,,,,,61.25284194946289
2012-05-03,,62.73884201049805,24.1217098236084,23.967926025390625,,28.849430084228516,58.943870544433594,48.96293640136719,,63.25062561035156,63.93939971923828,,158.97000122070312,25.157398223876953,1.166869044303894,64.50837707519531,,,7.167618751525879,50.57422637939453,,,,,61.28171920776367
2012-05-04,,61.544464111328125,23.82573699951172,23.654998779296875,,28.849430084228516,58.154300689697266,48.070274353027344,,62.032833099365234,62.82295227050781,,159.47000122070312,25.192808151245117,1.081249475479126,63.1987419128418,,,7.124390125274658,49.55298614501953,,,,,61.41154098510742
2012-05-07,,61.58013153076172,23.841733932495117,23.65235137939453,,28.069339752197266,58.417476654052734,48.070274353027344,,62.06073760986328,62.88702392578125,,159.0800018310547,25.143226623535156,1.082808256149292,63.22528839111328,,,7.098451614379883,49.19147491455078,,,,,61.389854431152344
2012-05-08,,61.2860221862793,23.697751998901367,23.60991668701172,,27.78650665283203,58.49644088745117,47.85602569580078,,61.605228424072266,62.21895980834961,,156.0,25.185726165771484,1.0708593130111694,62.43772888183594,,,7.00334358215332,48.920352935791016,,,,,61.33940124511719
2012-05-09,,61.000816345214844,23.58576202392578,23.448143005371094,,27.914243698120117,57.95254135131836,47.61500549316406,,61.34492492675781,62.456912994384766,,154.47000122070312,25.199892044067383,1.0649361610412598,62.128028869628906,,,6.968759536743164,48.784767150878906,,,,,61.28171920776367
2012-05-10,,60.94730758666992,23.713747024536133,23.506488800048828,,27.731765747070312,58.39993667602539,47.54358673095703,,61.41001510620117,63.0151252746582,,154.77000427246094,25.433612823486328,1.054026484489441,62.40233612060547,,,6.934175491333008,48.369056701660156,,,,,61.20958709716797
2012-05-11,,60.858184814453125,23.645750045776367,23.408370971679688,,27.996356964111328,58.39117431640625,47.46324157714844,,61.502986907958984,62.87784957885742,,153.55999755859375,25.447784423828125,1.0529870986938477,62.366943359375,,,6.890944957733154,48.38713455200195,,,,,61.36825942993164
2012-05-14,,60.216434478759766,23.413774490356445,23.148487091064453,,27.704395294189453,58.163089752197266,46.990135192871094,,60.66632843017578,62.182373046875,,151.3300018310547,25.419450759887695,1.0238929986953735,61.35816955566406,,,6.735314846038818,48.05274200439453,,,,,61.41875457763672
2012-05-15,,59.931217193603516,23.141801834106445,23.015892028808594,,27.667898178100586,57.87358093261719,46.784820556640625,,60.35023498535156,62.383705139160156,,149.74000549316406,25.242382049560547,1.0149574279785156,61.31394577026367,,,6.614268779754639,47.82680130004883,,,,,61.3321647644043
2012-05-16,,59.708396911621094,23.133800506591797,22.92041778564453,,27.604032516479492,57.943763732910156,46.65091323852539,,60.02488327026367,61.71565246582031,,149.4600067138672,25.277795791625977,0.9929296374320984,61.269676208496094,,,6.493224143981934,47.24839401245117,,,,,61.216766357421875
2012-05-17,,58.53187942504883,22.781843185424805,22.58628273010254,,27.25732421875,57.22441101074219,45.77610397338867,,58.37018585205078,61.10252380371094,,152.8000030517578,25.136157989501953,0.9318326711654663,59.402565002441406,,,6.398116588592529,46.74229049682617,,,,,60.95713806152344
2012-05-18,,58.01491928100586,22.60584831237793,22.421863555908203,,26.600418090820312,56.698036193847656,45.41010665893555,,57.654396057128906,60.46194839477539,,154.5500030517578,25.08656883239746,0.8944263458251953,59.004364013671875,,,6.294363498687744,45.576446533203125,,,,,60.885032653808594
2012-05-21,,59.42316436767578,22.789840698242188,22.68174934387207,,27.302949905395508,57.41739273071289,46.44561767578125,,59.28120803833008,60.70902633666992,,154.64999389648438,25.114900588989258,0.9696539044380188,60.11931610107422,,,6.432701587677002,46.82362747192383,,,,,60.71197509765625
2012-05-22,,59.449928283691406,22.945823669433594,22.72418212890625,,27.34856414794922,57.277042388916016,46.4099006652832,,59.47641372680664,60.43447494506836,,152.0800018310547,25.29196548461914,0.9661217927932739,60.340553283691406,,,6.398116588592529,46.49828338623047,,,,,60.733585357666016
2012-05-23,,59.69057846069336,22.8298282623291,22.604846954345703,,27.22995376586914,56.96123123168945,46.60627746582031,,59.904048919677734,60.754783630371094,,151.6199951171875,25.157398223876953,0.9715242385864258,60.74760437011719,,,6.38947057723999,46.724220275878906,,,,,60.74799728393555
2012-05-24,,59.628177642822266,22.885835647583008,22.79047966003418,,27.07941436767578,57.49635314941406,46.57057571411133,,59.74601364135742,60.84628677368164,,151.41000366210938,25.256549835205078,0.9540678858757019,61.00422286987305,,,6.346240520477295,45.99217224121094,,,,,60.726383209228516
2012-05-25,,59.43210983276367,22.92181968688965,22.76926040649414,,27.271013259887695,57.53144454956055,46.4099006652832,,59.73670959472656,61.03849411010742,,152.67999267578125,25.3415470123291,0.9486654996871948,60.95112991333008,,,6.3375959396362305,46.41694641113281,,,,,60.91387939453125
2012-05-29,,60.18971252441406,23.14579963684082,23.01854133605957,,27.508230209350586,57.68935775756836,46.97227096557617,,60.517581939697266,61.6424446105957,,151.02000427246094,25.419450759887695,0.9839929938316345,61.853702545166016,,,6.493224143981934,47.022464752197266,,,,,60.86338806152344
